93405 | 1
93406 | 0,72
93407 | 1,05
93408 | 1,24
93409 | 1,68
93410 | 0,84
93273 | 0,47

93209 | 0
93210 | 0

93276 | 0
93208 | 0
93275 | 0,75
93274 | 1,17

93243 | 0,74
93244 | 0,97
93245 | 0,15
93249 | 0,37
93259 | 0,52
93260 | 0,45
93234 | 0,34
93233 | 0,51
93236 | 0,35
93235 | 0,7
93211 | 0,55
93212 | 0,76
93213 | 0,61
93214 | 0,97
93215 | 0,65
93216 | 1,6
93217 | 1,68
93218 | 2,37
93261 | 0,4
93219 | 0,69
93220 | 0,57
93221 | 0,7
93222 | 0,34
93223 | 0,42
93224 | 0,32
93225 | 0,31
93226 | 0,33
93227 | 0,53
93262 | 0,2
93228 | 0,42
93229 | 0,27
93273 | 0,47
93230 | 0,25
93254 | 0,28
93271 | 0,43
93255 | 0,35
93272 | 0,59
93237 | 0,45
93238 | 0,35
93270 | 0,31
93268 | 0,36
93248 | 0,15
93253 | 0,56
93239 | 0,18
93240 | 0,26
93247 | 0,25
93246 | 0,35
93250 | 0,25
93266 | 0,3
93256 | 0,38
93257 | 0,6
93258 | 0,98
93265 | 0,34
93263 | 0,46
93251 | 0,16
93252 | 0,19
93241 | 0,24
93242 | 0,26
93269 | 0,29
